index,ZINC,ECBD,docking score,smiles
80,ZINC000033278816,EOS1109,-4.153,Cc1sc(S(=O)(=O)N2CCOCC2)cc1NC(=O)c1cc2ccccc2oc1=O
81,nan,EOS101231,-4.125,Cc1ccc(S(=O)(=O)O)cc1.Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3[nH]ncc23)CC1
82,ZINC000095616580,EOS101166,-4.051,COc1cc(N2CCC(N)CC2)ccc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1
83,ZINC000205644260,EOS100222,-4.007,Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2
84,nan,EOS98645,-3.876,COc1ccc(N2CCN(C(=O)c3ccc4c(c3)N(Cc3ccc(F)cc3)C(=O)c3ccccc3S4=O)CC2)cc1
85,ZINC000027428713,EOS101759,-3.862,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
86,nan,EOS101028,-3.664,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)nc2c1cnn2C(C)C
87,ZINC000064971520,EOS886,-3.59,O=C(CN1C(=O)CN(C(=O)Nc2ccc(F)cc2)c2ccccc21)N1CCN(c2ccccc2)CC1
88,ZINC000019632618,EOS100636,-3.562,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
89,ZINC000079478116,EOS257,-3.521,Cn1ccnc1C(=O)c1cccc(NC(=O)[C@H](c2ccccc2)n2cnnn2)c1
90,ZINC000035535235,EOS858,-3.49,COc1ccc2c(=O)c(C(=O)c3ccncc3)cn(CC(=O)Nc3ccc4c(c3)OCO4)c2c1
91,ZINC000103251492,EOS100411,-3.478,CN(CC(=O)N(Cc1ccc(C2CCCCC2)cc1)c1ccc(C(=O)O)cc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F
92,ZINC000015841814,EOS698,-3.451,O=S(=O)(c1ccc2c(c1)OCO2)N1CCc2cc3ccccc3nc21
93,ZINC000043202741,EOS101102,-3.41,O=C(Oc1ccc([N+](=O)[O-])cc1)N1CCC(C(O)(c2ccc3c(c2)OCO3)c2ccc3c(c2)OCO3)CC1
94,nan,EOS759,-3.406,O=C(NCc1ccccc1)C1CCCN(S(=O)(=O)c2ccc3[nH]c(=O)oc3c2)C1
95,nan,EOS101133,-2.45,CS(=O)(=O)O.Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3
96,ZINC000001612996,EOS101097,-1.918,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
97,nan,EOS1122,-1.74,CC1Cc2ccccc2N1S(=O)(=O)c1ccc2c(c1)c(=O)n(CC(=O)N1CCCC1)c(=O)n2C
