index,Title,docking score,glide gscore,eos,pubchem,zinc,smiles,formula
84,EOS100934,-4.196,-4.22,EOS100934,CID44143370,ZINC000042921365,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,C26H25Cl2FN8
85,EOS1195,-4.194,-4.194,EOS1195,CID49661830,ZINC000049006633,Cc1cccc(-c2noc(-c3cccn4c(=O)n(Cc5cc(=O)n6ccccc6n5)nc34)n2)c1,C24H17N7O3
86,EOS100856,-4.164,-4.166,EOS100856,CID24794418,ZINC000039716080,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,C25H19ClF2N4O4
87,EOS1109,-4.153,-4.153,EOS1109,CID50829171,ZINC000033278816,Cc1sc(S(=O)(=O)N2CCOCC2)cc1NC(=O)c1cc2ccccc2oc1=O,C19H18N2O6S2
88,EOS101231,-4.125,-5.991,EOS101231,CID46205871,,Cc1ccc(S(=O)(=O)O)cc1.Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3[nH]ncc23)CC1,C28H27F4N7O3S
89,EOS101084,-4.092,-4.825,EOS101084,CID10074640,ZINC000034177219,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,C28H30N6OS
90,EOS101166,-4.051,-4.07,EOS101166,CID56599293,ZINC000095616580,COc1cc(N2CCC(N)CC2)ccc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,C24H25ClN6O
91,EOS100222,-4.007,-4.085,EOS100222,CID71565985,ZINC000205644260,Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2,C38H38N6O3S
92,EOS98645,-3.876,-3.878,EOS98645,CID16007999,,COc1ccc(N2CCN(C(=O)c3ccc4c(c3)N(Cc3ccc(F)cc3)C(=O)c3ccccc3S4=O)CC2)cc1,C32H28FN3O4S
93,ZINC000027428713,-3.862,-3.862,,,,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,
94,EOS101028,-3.664,-3.737,EOS101028,CID121322599,,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)nc2c1cnn2C(C)C,C30H38N8O2
95,EOS886,-3.59,-3.59,EOS886,CID53091028,ZINC000064971520,O=C(CN1C(=O)CN(C(=O)Nc2ccc(F)cc2)c2ccccc21)N1CCN(c2ccccc2)CC1,C27H26FN5O3
96,EOS100636,-3.562,-3.781,EOS100636,CID5291,ZINC000019632618,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,C29H31N7O
97,ZINC000019632618,-3.562,-3.781,,,,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,
98,EOS257,-3.521,-3.521,EOS257,CID71829825,ZINC000079478116,Cn1ccnc1C(=O)c1cccc(NC(=O)[C@H](c2ccccc2)n2cnnn2)c1,C20H17N7O2
