,proteinID,ligandID,mean,median,max,min,var
153,7RDY-no-extra,Mrv1718003261822252D,-12.588636363636363,-12.6,-11.5,-13.6,0.9494027484143779
154,7RDY-zinc,Mrv0541-05041403292D,-12.55,-12.55,-12.4,-12.7,0.023023255813953567
155,7RDY-no-extra,Mrv1909-11152216252D,-12.55,-12.55,-12.3,-12.8,0.06395348837209298
156,7RDY-no-extra,Mrv1652310201622592D-1704021546176,-12.55,-12.55,-12.2,-12.9,0.12534883720930262
157,7RDY-zinc,Mrv0541-02231218162D-1704021542059,-12.547727272727274,-12.5,-11.5,-13.6,1.1234830866807606
158,7RDY-zinc,Mrv0541-02241213002D-1704021542290,-12.536363636363637,-12.600000000000001,-11.7,-13.3,0.5995771670190274
159,7RDY-zinc,Mrv1909-06032104182D,-12.531818181818181,-12.5,-11.8,-13.3,0.5491966173361511
160,7RDY-zinc,Mrv1718012151818582D,-12.515909090909092,-12.5,-12.4,-12.7,0.0148572938689219
161,7RDY-no-extra,Mrv0541-02231217212D-1704021540211,-12.513636363636364,-12.55,-11.9,-13.1,0.3528329809725151
162,7RDY-no-extra,Mrv1909-12181923412D,-12.5,-12.5,-12.5,-12.5,0.0
163,7RDY-zinc,SB1,-12.5,-12.5,-12.2,-12.8,0.09209302325581405
164,7RDY-no-extra,Mrv1652310211602202D-1704021547221,-12.495454545454544,-12.5,-11.7,-13.3,0.6409090909090918
165,7RDY-no-extra,Mrv1652306141716592D,-12.486363636363636,-12.45,-12.3,-12.7,0.03655391120507388
166,7RDY-zinc,Mrv0541-02231217222D-1704021540244,-12.484090909090908,-12.5,-12.2,-12.7,0.0488107822410146
167,7RDY-no-extra,Mrv1909-05201914372D-1704021549282,-12.479545454545455,-12.45,-10.7,-14.3,3.2416649048625783
168,7RDY-no-extra,Mrv1718008191817302D,-12.477272727272727,-12.65,-11.1,-12.9,0.23295983086680808
169,7RDY-zinc,Mrv1652310201623162D,-12.475,-12.5,-11.7,-13.2,0.5391279069767442
170,7RDY-no-extra,Mrv1909-03042003352D,-12.461363636363636,-12.55,-12.1,-12.7,0.03591437632135307
171,7RDY-no-extra,Mrv1902-03111922242D,-12.456818181818182,-12.45,-11.6,-13.3,0.6239059196617348
172,7RDY-zinc,Betulinic-acid,-12.45,-12.45,-12.4,-12.5,0.002558139534883758
173,7RDY-zinc,Mrv1909-08021915032D,-12.45,-12.45,-12.2,-12.7,0.06395348837209298
174,7RDY-zinc,Mrv1909-11171900482D,-12.45,-12.45,-11.6,-13.3,0.7393023255813984
175,7RDY-no-extra,Mrv1652310201623332D-1704021546508,-12.45,-12.45,-11.6,-13.3,0.7393023255813949
176,7RDY-no-extra,Mrv1652310211600282D,-12.447727272727274,-12.4,-11.5,-13.4,0.9192970401691334
177,7RDY-zinc,1336,-12.44772727272727,-12.399999999999999,-11.7,-13.3,0.5727854122621563
178,7RDY-zinc,Mrv1652310211605152D,-12.44772727272727,-12.55,-11.6,-13.2,0.5820877378435518
179,7RDY-no-extra,Mrv1909-01032022462D,-12.44772727272727,-12.45,-11.6,-13.3,0.6313900634249497
180,7RDY-zinc,Mrv0541-02231217582D-1704021541340,-12.443181818181818,-12.45,-12.3,-12.6,0.0206501057082451
181,7RDY-no-extra,Mrv1909-12291907022D,-12.420454545454545,-12.7,-11.6,-13.0,0.35794397463002153
182,7RDY-no-extra,Mrv1652310201622372D-1704021545882,-12.409090909090908,-12.45,-12.0,-12.8,0.09758985200845616
183,7RDY-zinc,Mrv1718007041816122D,-12.404545454545454,-12.399999999999999,-12.2,-12.7,0.043234672304439815
184,7RDY-no-extra,Mrv0541-02231218172D-1704021542140,-12.40227272727273,-12.4,-12.0,-12.9,0.16580866807611028
185,7RDY-zinc,Mrv1718012301821502D,-12.4,-12.4,-11.8,-13.0,0.3683720930232543
186,7RDY-zinc,Mrv1572002131601182D,-12.4,-12.4,-12.3,-12.5,0.010232558139534753
187,7RDY-zinc,Mrv1652306231722472D-1704021548378,-12.4,-12.399999999999999,-12.2,-12.6,0.040930232558139754
188,7RDY-no-extra,Mrv1909-11151923482D,-12.397727272727273,-12.350000000000001,-12.3,-12.5,0.009994714587737857
189,7RDY-no-extra,Mrv1909-10301920552D,-12.393181818181818,-12.95,-10.7,-13.8,2.087161733615221
190,7RDY-zinc,Mrv1718010161816442D,-12.388636363636364,-12.5,-12.2,-12.6,0.01870507399577186
191,7RDY-no-extra,Mrv1718009031810352D,-12.379545454545456,-12.5,-11.9,-12.9,0.19515327695560244
192,7RDY-zinc,Mrv1909-12232016202D,-12.379545454545456,-12.55,-11.8,-12.7,0.1328276955602534
193,7RDY-zinc,Mrv1909-11211903042D,-12.352272727272727,-12.350000000000001,-12.3,-12.5,0.003017970401691329
194,7RDY-no-extra,Mrv1909-05201914262D-1704021549166,-12.35,-12.35,-11.7,-13.0,0.43232558139534744
195,7RDY-zinc,Mrv1909-07152217452D,-12.35,-12.35,-11.0,-13.7,1.8648837209302302
196,7RDY-zinc,1CD,-12.35,-12.350000000000001,-12.3,-12.4,0.002558139534883758
197,7RDY-zinc,Mrv1652306131722002D-1704021541932,-12.34772727272727,-12.45,-11.3,-13.3,0.8258086680761101
198,7RDY-zinc,MUF,-12.34772727272727,-12.3,-12.1,-12.6,0.0630179704016912
199,7RDY-zinc,Mrv1909-11011918342D,-12.345454545454544,-12.35,-12.1,-12.5,0.024862579281183978
200,7RDY-no-extra,Mrv0541-02241219032D,-12.322727272727274,-12.350000000000001,-11.8,-12.9,0.23900634249471367
201,7RDY-no-extra,Mrv1718001051815252D,-12.320454545454545,-12.3,-12.0,-12.6,0.06492071881606729
202,7RDY-zinc,5281613,-12.311363636363637,-12.350000000000001,-11.8,-12.8,0.24521670190275044
203,7RDY-no-extra,Mrv0541-05041413582D,-12.304545454545455,-12.3,-12.1,-12.5,0.015792811839324003
204,7RDY-zinc,Mrv1909-12141900452D,-12.304545454545455,-12.3,-12.2,-12.5,0.011606765327695556
205,7RDY-zinc,Mrv1652308261601092D,-12.3,-12.3,-11.5,-13.1,0.6548837209302324
206,7RDY-no-extra,Mrv1909-11182214262D,-12.3,-12.3,-11.4,-13.2,0.8288372093023247
207,7RDY-zinc,Mrv1909-11101920122D,-12.3,-12.3,-12.3,-12.3,0.0
208,7RDY-no-extra,Mrv0541-02231219402D,-12.3,-12.3,-12.0,-12.6,0.09209302325581345
209,7RDY-zinc,Mrv1909-12101918382D,-12.297727272727274,-12.25,-11.9,-12.7,0.16208773784355168
210,7RDY-no-extra,Mrv1909-11041923332D,-12.297727272727274,-12.25,-11.7,-12.9,0.3658086680761105
211,7RDY-zinc,JTP,-12.295454545454545,-12.25,-11.9,-12.6,0.09253699788583486
212,7RDY-zinc,Mrv1572004091621302D,-12.290909090909093,-12.4,-11.5,-12.9,0.28596194503171235
213,7RDY-no-extra,Mrv1909-04202016032D,-12.279545454545454,-12.3,-12.1,-12.4,0.016083509513741937
214,7RDY-zinc,Mrv0541-05041412092D-1704021546770,-12.265909090909092,-12.25,-12.2,-12.4,0.005554968287526564
215,7RDY-no-extra,Mrv1718007121817142D,-12.263636363636364,-12.25,-11.7,-12.9,0.32608879492600445
216,7RDY-no-extra,Mrv1718012261816392D,-12.261363636363637,-12.350000000000001,-12.1,-12.4,0.02149577167019028
217,7RDY-zinc,Mrv0541-02241213002D-1704021542289,-12.256818181818181,-12.45,-11.4,-13.0,0.5783245243128966
218,7RDY-no-extra,Mrv1909-03042116572D,-12.252272727272727,-12.3,-10.0,-14.2,3.896041226215643
219,7RDY-zinc,Mrv1652310201623242D-1704021546449,-12.252272727272727,-12.25,-11.9,-12.6,0.12115750528541187
220,7RDY-no-extra,1395,-12.25,-12.25,-12.1,-12.4,0.023023255813954032
221,7RDY-zinc,Mrv1909-03092021512D,-12.25,-12.25,-11.9,-12.6,0.12534883720930165
222,7RDY-no-extra,Mrv0541-05041410502D,-12.247727272727273,-12.2,-12.0,-12.5,0.06301797040169115
223,7RDY-zinc,Mrv1909-01232000132D,-12.245454545454544,-12.25,-11.7,-12.7,0.21183932346722986
224,7RDY-no-extra,Mrv1718011201717552D,-12.225,-12.25,-11.6,-12.8,0.33959302325581503
225,7RDY-no-extra,Mrv0541-02231215482D-1704021537479,-12.20909090909091,-12.25,-11.8,-12.6,0.15712473572938565
226,7RDY-zinc,Mrv1909-12031922422D,-12.206818181818182,-12.25,-11.2,-13.2,0.8876268498942922
227,7RDY-no-extra,Mrv0541-02241213002D-1704021542292,-12.204545454545455,-12.3,-11.4,-12.9,0.4995137420718822
228,7RDY-no-extra,UCM,-12.204545454545455,-12.25,-12.0,-12.4,0.03951374207188179
229,7RDY-zinc,Mrv1652310211604302D,-12.204545454545455,-12.25,-11.4,-13.0,0.647885835095136
230,7RDY-zinc,Mrv1909-03072017192D,-12.202272727272726,-12.25,-11.7,-12.7,0.25371564482029635
231,7RDY-zinc,Mrv1909-10112218262D,-12.2,-12.2,-12.0,-12.4,0.040930232558139754
