SMILES,proteinID,ligandID,mean,median,max,min,var
O=C(NCC1=CC=C(C2=CC(F)=CC=C2)O1)C1=CC=C(C2=NNC(=O)C=C2)C=C1,7RDY-zinc,711,-8.310227272727273,-8.4,-7.5,-8.6,0.068514890282131
COC1=CC=C(NC(=O)[C@@H](C)NC(=O)C2=CC=C(C3=CC=CC=C3C3=NNN=N3)C=C2)C=C1,7RDY-no-extra,211,-8.304545454545455,-8.350000000000001,-7.2,-9.3,0.4280250783699078
O=C(COC1=CC=CC(OC2=CC=CC=N2)=C1)N1CCN(C(=O)C2=CC(F)=CC=C2F)CC1,7RDY-zinc,736,-8.294949494949496,-8.2,-7.2,-9.0,0.1443619872191306
O=C(NC1=CC=CC=C1OC1=CC(F)=CC(F)=C1)C1=CN=C2N=CNC(=O)C2=C1,7RDY-zinc,606,-8.289772727272727,-8.2,-7.6,-8.6,0.0338022466039708
O=C(NC1=CC(N2N=CC=C2C(F)(F)F)=CC=C1)C1=NN=C(C2=CC=CC=C2)N1,7RDY-no-extra,575,-8.285227272727273,-8.3,-7.4,-8.9,0.2387447753396037
O=C(C1=CC=CC=C1)C1=CC(NC(=O)C2=C(F)C3=C(C=C2)NC(=O)N3)=CC=C1F,7RDY-no-extra,294,-8.281818181818181,-8.399999999999999,-7.3,-8.8,0.1741483803552769
N#CC1=CC(F)=CC(CN2C(=O)N(C3=CC=C(C(=O)O)C=C3)C3=CC=CC=C32)=C1,7RDY-zinc,974,-8.281818181818181,-8.1,-7.3,-9.7,0.7132288401253899
O=C(NC1=CC=C(F)C(C(=O)C2=CNC3=CC=CC=C23)=C1)C1=CC(CO)=CN=C1,7RDY-zinc,730,-8.281818181818181,-8.0,-7.9,-9.1,0.1557575757575754
O=C(NCC1=CC=CC2=NON=C12)C1=CC(F)=C(F)C=C1C(=O)C1=CC=CC=C1,7RDY-no-extra,123,-8.279545454545454,-8.3,-7.9,-8.7,0.0388871473354231
O=C(NCC1=NC=CC=C1C1=CC=CC=C1)C1=NN(C2=CC=CC=C2)C(=O)NC1=O,7RDY-zinc,849,-8.278409090909092,-8.55,-7.1,-8.9,0.4221721525600827
N#CCC1=CC=C(OC2=CC=C(NC(=O)C3=CC=C(C4=NNC=N4)N=C3)C=C2)C=C1,7RDY-no-extra,148,-8.276136363636363,-8.3,-6.6,-8.9,0.2144814524555904
O=C(NC1=CC(C2=NN=NN2)=CC=C1F)C1=CC=NC=C1OC1=CC=C(F)C=C1,7RDY-no-extra,173,-8.273863636363636,-8.3,-6.9,-8.7,0.1670101880877746
O=C(NC1=CC=CC(NC(=O)C2=C(F)NN=C2)=C1)C1=CC2=CC=C(F)C=C2C=N1,7RDY-no-extra,760,-8.273255813953488,-8.0,-7.7,-8.9,0.1509233926128589
O=C(NC1=CC2=CC=CC=C2C(=O)N1)C1=CC(C2=CC=CC=N2)=CC(F)=C1,7RDY-zinc,40,-8.264772727272728,-8.4,-6.7,-8.9,0.2535723615465
O=C(NC1=CC=CC=C1C(O)C1=CC=CC=N1)C1=NOC(C2=CC=C(F)C=N2)=C1,7RDY-no-extra,641,-8.263636363636364,-8.35,-7.3,-9.0,0.2490073145245554
O=C(CC1=NOC(C2=CC=CC(C3=NNC(=O)C=C3)=C2)=N1)NC1=CC=CC=C1F,7RDY-no-extra,967,-8.263636363636364,-8.1,-6.6,-9.3,0.6733751306165057
CNC(=O)C1=CC(OC2=CC(C)=CC=C2NC(=O)C2=NN=C3C=CC=CC3=C2N)=CC=N1,7RDY-no-extra,568,-8.260227272727272,-8.5,-6.8,-8.8,0.3410436259143164
O=C(NCC1=COC2=CC=C(F)C=C12)C1=CN(C2=CC=CC=C2F)C(=O)C=C1,7RDY-no-extra,508,-8.260227272727272,-8.1,-7.9,-9.0,0.1493194879832817
O=C(NC1=NC(C2=CC(F)=CC(F)=C2)=CC=N1)C1=CC=CC2=CC=C(O)N=C12,7RDY-no-extra,739,-8.254545454545454,-7.85,-7.2,-9.6,0.6521630094043874
COC1=C(C(=O)NCC2=CC=C(C3=CC=C4C=CC=CC4=C3)C=C2)NC(=O)NC1=O,7RDY-zinc,230,-8.25,-8.5,-7.6,-8.7,0.1691954022988508
CN1N=CC2=CC=C(CNC(=O)NCC3=CC(OC4=CC=C(F)C(F)=C4)=CC=N3)C=C21,7RDY-no-extra,162,-8.247727272727273,-8.2,-7.6,-8.8,0.1395350052246605
O=C1C=NC2=CC(S(=O)(=O)NC3=CC=C(F)C(C4=CC=CC=C4)=C3)=CC=C2N1,7RDY-zinc,885,-8.24659090909091,-8.2,-7.6,-8.9,0.2248158307210031
N#CC1=CC(OC2=CC=CC=C2NC(=O)CC2=CC=C(C3=NN=NN3)C=C2)=CC=C1,7RDY-zinc,380,-8.24659090909091,-8.3,-7.0,-8.6,0.0914824973876693
O=C(NC1=CC=C(N2C=CC(=O)N2)C=C1)C1=CC=NC=C1NCC1=CC=CC=C1,7RDY-no-extra,379,-8.245454545454546,-8.2,-7.5,-9.1,0.3608986415882965
CN1C(C(=O)NC2=CC=C3C=CNC(=O)C3=C2)=CC=C1C(=O)C1=CC=CC=C1F,7RDY-zinc,521,-8.244318181818182,-8.350000000000001,-7.7,-8.6,0.0914615987460819
