LigandID,SMILES
Mrv1909-12231902552D,c12c(C(=O)c3c(C1=O)cccc3OC)c(c1c(c2O)C[C@](C[C@@H]1O[C@@H]1O[C@H]([C@H]([C@H](C1)N)O)C)(C(=NNC(=O)c1ccccc1)C)O)O
Mrv1909-08212014252D,[C@@]12([C@@]3([C@@H](C[C@H]1O[C@](O2)(c1ccccc1)C)[C@H]1[C@H](CC3)[C@@]2(C(=CC(=O)CC2)CC1)C)C)C(=O)C
Mrv1652310201623012D-1704021546192,C[C@H]1COCCN1c1c2ccc(nc2nc(n1)N1CCOC[C@@H]1C)c1cccc(c1)C(=O)NC
Mrv1909-01172019092D,CN1C(=O)[C@@H]2C[C@H](Oc3c4ccc(OC)c(C)c4nc(c4scc(C(C)C)n4)c3)C[C@H]2C(=O)N[C@]2(C(=O)NS(=O)(=O)C3CC3)C[C@H]2/C=C\CCCC1
Mrv1652306231722482D,C[C@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@@]1(CC[C@@H]2C1=CC(=O)OC1)O)C)C=O)O)OC)O
Mrv1909-07282220332D,[C@@]12([C@]3([C@@H]([C@@]4([C@H](C([C@H](CC4)O)(C)C)CC3)C)CC[C@@H]1[C@H]1[C@H](C(=C)C)CC[C@@]1(CC2)CO)C)C
Mrv1652310171623502D-1704021545870,CC[C@@]12C=CCN3[C@@H]1[C@@]1(CC3)c3cc(c(cc3N([C@H]1[C@]([C@@H]2OC(=O)C)(C(=O)OC)O)C)OC)[C@]1(C[C@@H]2C[C@H](C[N@@](C2)Cc2c1[nH]c1c2cccc1)C(C)(F)F)C(=O)OC
Mrv1652310211602442D-1704021547279,Cc1ccc(cc1N1C(=O)c2ccccc2C1(c1ccc2c(c1)nc([nH]2)NC(=O)OC)O)Cl
Mrv1718008191817332D,[C@@H]1(CC[C@H](C)[C@@H](O1)[C@@H](C)C(=O)O)C[C@H]1O[C@@]2([C@H](C)[C@H](OC)C1)O[C@]([C@H]1CC[C@]([C@H]3[C@H](C[C@@H](O3)[C@@H]3[C@@H](C)C[C@H]([C@@](CO)(O)O3)C)C)(C)O1)(C[C@H]2C)C
Mrv1572004221603192D-1704021548029,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H]([C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)O)C1)O)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)OC(=O)C)O
Mrv0541-05041401352D,CC1(C)[C@@H]2CC[C@]3(C)[C@H](C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)[C@@]2(C)CC[C@@H]1OC(=O)CCC(=O)O
Mrv1652310201623482D-1704021546611,C[C@@H]1C(=O)N[C@@H]2CSSCC/C=C/[C@H](CC(=O)N1)OC(=O)C[C@@H]([C@H](NC2=O)C(C)C)O
E04,O=C1C(C)(C)CC[C@@]2(O1)[C@]1(C)[C@@H](CC2)[C@H]2[C@H](CC1)c1ccc(C(=O)N)cc1CC2	E04
Mrv1652306131722012D-1704021542073,C[C@@]12[C@](C[C@@H](O1)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3C(=O)NC1)(CO)O
Mrv1718009221814542D,[C@@H]1(C[C@@H]([C@@H]([C@H](O1)C)O)OC)O[C@@H]1C[C@@]2([C@@]([C@@H]3[C@H]([C@@]4([C@](CC3)([C@H](CC4)C3=CC(=O)OC3)C)O)CC2)(CC1)C=O)O
Mrv1909-05212014182D,CN1CCC(CC1)N1CCN(CC1)C(=O)[C@@H](Cc1cc2c([nH]nc2)c(C)c1)NC(=O)N1CCC(CC1)c1cc2c([nH]c1=O)cccc2
Mrv1652310211600172D,c1ccc2-c3c(CCCc2c1)cc(nn3)n1c(nc(n1)Nc1ccc2c(c1)CC[C@H](CC2)N1CCCC1)N
Mrv1572001261621122D,F[C@]12[C@H]([C@H]3[C@@]([C@](O)([C@@H](C3)C)C(=O)COC(=O)c3ccncc3)(C[C@@H]2O)C)CCC2=CC(=O)C=C[C@]12C
Mrv1909-03182218372D,[C@@H]1([C@@H]2[C@]3([C@H]([C@@H](C1=C)O)/C=C/C[C@@H](CCC[C@H](/C=C/C(=O)O3)O)C)C(=O)N[C@H]2Cc1ccccc1)C
Mrv1572004221606122D,c1cc(cc(c1)O)/C/1=c/2\cc/c(=C(\c3cccc(c3)O)/C3=N/C(=C(/c4cccc(c4)O)\c4ccc(/C(=C\5/C=CC1=N5)/c1cccc(c1)O)[nH]4)/CC3)/[nH]2
Mrv0541-04191212112D,N1(C[C@@H](C[C@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O[C@@H]([C@]([C@@H]([C@H]1C)O)(O)C)CC)C)O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)C)O[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O)(O)C)C)C
Mrv1909-09102114432D,c1ccc2[nH]cc3c2c1[C@@H]1[C@@H](C3)N(C[C@@H](C1)C(=O)N[C@]1(C(=O)N2[C@@](O1)([C@H]1N(C(=O)[C@@H]2Cc2ccccc2)CCC1)O)C)C
Mrv1909-12152020022D-1704021550328,OC(=O)c1cc(F)c2nc(sc2c1)N1[C@H]2CC[C@@H]1C[C@@H](C2)OCc1c(onc1c1c(OC(F)(F)F)cccc1)C1CC1
Mrv1909-12181921482D,C1CN(CC1)CC(=O)Nc1cc(c2c(C(=O)C3=C([C@]4([C@H]([C@@H](C(=C(C4=O)C(=O)N)O)N(C)C)C[C@@H]3C2)O)O)c1O)F
Mrv1909-05201915042D-1704021549506,COc1cc2c(cc1)nc1CCCCC[C@@H]3CCC[C@H]3OC(=O)N[C@H]3CCCCC/C=C/[C@@H]4C[C@]4(NC(=O)[C@@H]4C[C@H](CN4C3=O)Oc1n2)C(=O)NS(=O)(=O)C1(C)CC1
Mrv1652310211600202D-1704021546784,c1cc2c(nc1)NC(=O)[C@]12Cc2ccc(cc2C1)NC(=O)CN1[C@@H](CNC2(C1=O)CCCC2)c1cc(cc(c1)F)F
Mrv1909-05141920162D,C1C[C@@]2([C@H]3CC[C@]4([C@@H](C[C@@H]5O[C@@]6([C@H]([C@H]45)C)CC[C@H](CO6)C)[C@@H]3CC[C@@H]2C[C@H]1O)C)C
Mrv1909-03072017262D,c1ccc2[nH]cc3c2c1C1=C[C@H](CN([C@@H]1C3)C)C(=O)N[C@]1(C(=O)N2[C@@](O1)([C@H]1N(C(=O)[C@@H]2Cc2ccccc2)CCC1)O)C
Mrv1572012161520342D,CC1(O[C@@H]2C[C@H]3[C@@H]4C[C@@H](C5=CC(=O)C=C[C@@]5([C@]4([C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)Cl)Cl)C)F)C
Mrv1909-02212019082D,[C@@H]12[C@H](CC(=O)C[C@H]3CC[C@H]4[C@@H]([C@H]5[C@H]6[C@@H](O4)[C@@H]4[C@@H](C[C@@](O5)(CC[C@H]5CC(=C)[C@@H](O5)CC[C@@H]5O[C@@H](C(=C)[C@@H](C5)C)C1)O4)O6)O3)[C@H]([C@H](O2)C[C@@H](CN)O)OC
Mrv0541-05031422022D,Cc1ccc2c(c1)C(=O)[C@@]1([C@@H]([C@@H]([C@H](c3ccc(c(c3)Cl)Cl)O1)C(=O)Nc1ccc(cc1)c1csnn1)C(=O)O)C2=O
Mrv1909-05201914432D-1704021549333,CCN(C)C(=O)c1ccc(cc1F)c1nc2c(cc1)[C@H](c1ccccc1O2)C(C)(C)C(=O)Nc1nncs1
