proteinID,ligandID,mean,median,max,min,var
7RDY-zinc,670,-8.170454545454545,-8.2,-8.0,-8.3,0.0039904862579280605
7RDY-zinc,93,-8.165909090909091,-8.2,-7.5,-8.3,0.02555496828752648
7RDY-zinc,613,-8.165909090909091,-8.3,-6.8,-8.4,0.07997357293868945
7RDY-zinc,705,-8.165909090909091,-8.2,-7.1,-8.6,0.2092758985200843
7RDY-zinc,315,-8.159090909090908,-8.25,-7.8,-8.4,0.05968287526427011
7RDY-no-extra,396,-8.159090909090908,-8.25,-6.4,-9.0,0.6024735729386897
7RDY-zinc,210,-8.156818181818181,-8.05,-7.7,-8.8,0.14948731501057091
7RDY-no-extra,519,-8.152272727272727,-8.0,-7.7,-8.6,0.11325052854122622
7RDY-no-extra,272,-8.15,-8.45,-7.1,-8.6,0.21744186046511665
7RDY-no-extra,291,-8.15,-8.15,-6.6,-8.9,0.5955813953488388
7RDY-zinc,521,-8.15,-8.2,-7.7,-8.5,0.1262790697674416
7RDY-zinc,994,-8.15,-8.15,-7.9,-8.4,0.0639534883720929
7RDY-zinc,398,-8.149999999999999,-8.15,-7.4,-8.7,0.30116279069767365
7RDY-zinc,511,-8.147727272727273,-8.2,-8.0,-8.3,0.009994714587737812
7RDY-no-extra,623,-8.147727272727273,-8.15,-7.0,-8.6,0.1662737843551798
7RDY-no-extra,189,-8.147727272727273,-8.15,-7.8,-8.4,0.06534355179704021
7RDY-zinc,241,-8.143181818181818,-8.3,-7.4,-8.7,0.2313477801268495
7RDY-zinc,667,-8.143181818181818,-8.15,-7.4,-8.7,0.21832452431289634
7RDY-no-extra,489,-8.143181818181818,-8.2,-7.0,-8.6,0.22483615221987316
7RDY-no-extra,377,-8.14090909090909,-8.0,-7.5,-8.4,0.04479915433403811
7RDY-zinc,72,-8.14090909090909,-7.95,-7.9,-8.4,0.06293868921775894
7RDY-no-extra,455,-8.138636363636364,-8.2,-7.1,-8.7,0.07777484143763215
7RDY-zinc,529,-8.138636363636364,-8.0,-7.3,-8.8,0.2894027484143767
7RDY-no-extra,469,-8.136363636363637,-8.15,-7.9,-8.4,0.05446088794926028
7RDY-zinc,548,-8.131818181818183,-8.1,-7.0,-8.8,0.4761733615221986
7RDY-zinc,102,-8.129545454545454,-8.35,-7.1,-8.6,0.2811997885835092
7RDY-zinc,51,-8.129545454545454,-8.15,-7.7,-8.5,0.14166490486257913
7RDY-zinc,18,-8.127272727272727,-8.2,-7.2,-8.3,0.05737843551797046
7RDY-no-extra,135,-8.122727272727273,-8.15,-7.4,-8.4,0.08040169133192454
7RDY-zinc,378,-8.122222222222222,-8.2,-8.0,-8.2,0.009777777777777679
7RDY-no-extra,243,-8.120454545454546,-8.2,-7.4,-8.7,0.28910676532769486
7RDY-zinc,357,-8.118181818181819,-8.100000000000001,-7.4,-8.9,0.5289640591966195
7RDY-zinc,344,-8.118181818181817,-8.1,-8.0,-8.4,0.00756871035940781
7RDY-zinc,125,-8.118181818181817,-8.1,-8.0,-8.3,0.008964059196617177
7RDY-zinc,851,-8.115909090909092,-8.15,-7.6,-8.3,0.038578224101479895
7RDY-no-extra,898,-8.115909090909092,-8.25,-7.3,-9.2,0.3190433403805492
7RDY-zinc,360,-8.115909090909092,-8.149999999999999,-7.5,-8.4,0.08322938689217797
7RDY-zinc,853,-8.11590909090909,-8.1,-8.0,-8.5,0.008810782241014824
7RDY-no-extra,869,-8.11590909090909,-8.1,-7.6,-8.6,0.21578752642706148
7RDY-no-extra,520,-8.11590909090909,-8.2,-7.4,-8.7,0.35253171247357484
7RDY-zinc,791,-8.113636363636363,-8.25,-7.7,-8.5,0.15655391120507375
7RDY-no-extra,506,-8.111363636363636,-8.2,-7.9,-8.3,0.018705073995771607
7RDY-zinc,698,-8.111363636363636,-7.9,-7.6,-9.0,0.17405391120507344
7RDY-zinc,54,-8.10909090909091,-8.1,-7.3,-9.0,0.35247357293868786
7RDY-zinc,770,-8.109090909090908,-8.15,-7.2,-8.7,0.3603805496828757
7RDY-zinc,174,-8.106818181818182,-8.1,-7.5,-8.5,0.14065010570824457
7RDY-zinc,782,-8.104545454545455,-8.149999999999999,-6.9,-8.8,0.456723044397463
7RDY-zinc,499,-8.102857142857143,-8.0,-7.8,-8.4,0.05322689075630248
7RDY-no-extra,278,-8.1,-8.1,-7.8,-8.4,0.09209302325581403
7RDY-zinc,871,-8.097727272727273,-8.05,-7.6,-8.7,0.25464587737843536
7RDY-no-extra,654,-8.097727272727273,-8.15,-7.8,-8.3,0.04534355179704002
7RDY-no-extra,53,-8.095454545454546,-8.4,-6.7,-8.5,0.4278858350951372
7RDY-zinc,669,-8.095454545454546,-8.35,-7.0,-8.7,0.36974630021141547
7RDY-no-extra,934,-8.093181818181819,-8.05,-7.3,-8.8,0.4987896405919666
7RDY-zinc,45,-8.090909090909092,-8.05,-7.6,-8.5,0.1627061310782247
7RDY-zinc,238,-8.088636363636365,-8.05,-7.7,-8.3,0.04521670190274874
7RDY-zinc,544,-8.088636363636365,-8.1,-7.4,-8.9,0.46893763213530715
7RDY-zinc,356,-8.088636363636363,-8.25,-7.5,-8.4,0.13684460887949346
7RDY-no-extra,376,-8.088636363636363,-8.25,-6.9,-8.8,0.1912632135306554
7RDY-no-extra,204,-8.086363636363636,-8.15,-7.2,-8.5,0.1314376321353068
7RDY-no-extra,956,-8.086363636363636,-8.1,-8.0,-8.2,0.00818181818181813
7RDY-zinc,75,-8.08409090909091,-8.0,-7.8,-8.3,0.041834038054968097
7RDY-zinc,939,-8.084090909090909,-8.149999999999999,-7.1,-8.8,0.43764799154334055
7RDY-zinc,157,-8.084090909090909,-8.05,-7.2,-8.6,0.271601479915433
7RDY-zinc,586,-8.084090909090909,-8.1,-7.7,-8.2,0.011601479915433293
7RDY-no-extra,793,-8.081818181818182,-8.0,-7.9,-8.4,0.03966173361522203
7RDY-no-extra,686,-8.08181818181818,-8.1,-7.8,-8.2,0.008033826638477876
7RDY-zinc,707,-8.079545454545455,-8.1,-7.1,-8.5,0.17143234672304455
7RDY-zinc,230,-8.077272727272726,-7.85,-7.6,-8.6,0.21761099365750514
7RDY-zinc,757,-8.075000000000001,-7.95,-7.5,-8.6,0.2409883720930236
7RDY-zinc,388,-8.075000000000001,-8.15,-7.7,-8.4,0.06238372093023311
7RDY-no-extra,918,-8.074509803921568,-8.1,-7.6,-8.9,0.0759372549019606
7RDY-no-extra,394,-8.072727272727272,-7.95,-7.7,-8.5,0.05551797040169119
7RDY-zinc,62,-8.070454545454545,-8.05,-7.6,-8.6,0.17980443974630067
7RDY-no-extra,353,-8.068181818181818,-8.0,-6.8,-8.6,0.16315010570824529
7RDY-no-extra,176,-8.065909090909091,-8.05,-7.3,-8.3,0.06927589852008462
7RDY-zinc,675,-8.06590909090909,-8.1,-7.4,-8.6,0.25439217758985205
7RDY-zinc,690,-8.063636363636364,-7.9,-7.1,-9.0,0.7437632135306551
7RDY-zinc,944,-8.063636363636364,-8.0,-7.2,-8.9,0.5670190274841435
7RDY-zinc,780,-8.061363636363636,-8.05,-7.6,-8.5,0.12428646934460881
7RDY-zinc,555,-8.061363636363636,-7.800000000000001,-7.6,-8.5,0.17033298097251684
7RDY-zinc,418,-8.061363636363636,-8.15,-6.7,-8.9,0.7382399577167035
7RDY-zinc,660,-8.05909090909091,-8.350000000000001,-7.3,-8.5,0.22107822410147987
7RDY-zinc,249,-8.05909090909091,-8.0,-7.4,-8.6,0.19131078224101505
7RDY-no-extra,508,-8.059090909090909,-8.05,-7.9,-8.2,0.020147991543340498
7RDY-no-extra,336,-8.059090909090909,-8.15,-7.6,-8.5,0.2001479915433407
7RDY-zinc,240,-8.056818181818182,-8.0,-7.9,-8.3,0.01599894291754757
7RDY-zinc,421,-8.052272727272728,-8.1,-7.9,-8.3,0.007204016913319245
