EOS,Affinity,Smile
EOS147,-6.758,CC(C)Cc1nc2ccc(NC(=O)c3cccnc3)cc2[nH]1
EOS148,-6.713,COc1cc(-c2nnc(NC(=O)c3ccncc3)s2)cc(OC)c1OC
EOS149,-6.765,CC(C)n1ccc2c(OCC(=O)Nc3ncc[nH]3)cccc21
EOS150,-7.938,O=C(Nc1ccc2c(c1)OCCCO2)N(CC1CC1)C[C@@H]1CCCN2CCCC[C@H]12
EOS151,-6.536,COc1cccc2c1ccn2CC(=O)Nc1ccc(OCCN(C)C)cc1
EOS152,-6.243,CSCC[C@@H](CO)NC(=O)Cn1ncc2ccccc2c1=O
EOS153,-8.067,O=C(CCC1NC(=O)c2ccccc2NC1=O)NCCn1cnc2cc(Cl)ccc21
EOS154,-6.158,Cn1ccc(NC(=O)CCNc2ncccn2)n1
EOS155,-7.502,O=C(Cn1ccc2ccccc21)Nc1ccc2c(c1)COC2=O
EOS156,-7.359,COc1cc2ncn(CC(=O)Nc3c(C)nn(C(C)C)c3C)c(=O)c2cc1OC
EOS157,-7.477,Cc1c(C(=O)Nc2cnn(C)c2)sc2nc[nH]c(=O)c12
EOS158,-7.042,COc1ccc2[nH]c(C(=O)N3C[C@@H]4C[C@H](C3)Cn3c4cccc3=O)cc2c1
EOS159,-7.57,COc1ccc2c(c1)cc(C(=O)N1C[C@@H]3C[C@H](C1)Cn1c3cccc1=O)n2C
EOS160,-7.048,COc1ccc(OC)c2c1cc(C(=O)N1CCN(c3ccccn3)CC1)n2C
EOS161,-8.699,O=C(CCc1nnc(O)[nH]c1=O)N1CCCCC1c1nc2ccccc2[nH]1
EOS162,-7.728,O=C1NC(CCC(=O)N2CCN(c3cnccn3)CC2)C(=O)Nc2ccccc21
EOS163,-7.724,O=C(NCCCC(=O)N1CCCCC1c1nc2ccccc2[nH]1)c1cnccn1
EOS164,-7.844,COc1cccc2c1ccn2CCCNC(=O)CC1NC(=O)c2ccccc2NC1=O
EOS165,-7.706,Cc1cc(=O)oc2c3c(cc(OCC(=O)N[C@@H](C)CO)c12)OC(C)(C)CC3
EOS166,-7.49,COCCn1ccc2c(C(=O)Nc3cc(C)nn3C3CCS(=O)(=O)C3)cccc21
EOS167,-7.476,COCc1n[nH]c(-c2ccc(NC(=O)CCN3C(=O)CC4(CCCC4)C3=O)cc2)n1
EOS168,-5.844,COc1ccc(OC)c2c1cc(C(=O)NC(C)C)n2C
