ZINC,ECBD,mode,affinity,rmsd l.b.,rmsd u.b.
,EOS1648,1.0,-8.4,0.0,0.0
ZINC000064889602,EOS1757,1.0,-8.4,0.0,0.0
ZINC000065362295,EOS2412,1.0,-8.4,0.0,0.0
ZINC000016890479,EOS952,1.0,-8.4,0.0,0.0
ZINC000014261579,,1.0,-8.4,0.0,0.0
ZINC000065128885,EOS1186,1.0,-8.4,0.0,0.0
,EOS394,1.0,-8.4,0.0,0.0
ZINC000043200832,EOS101162,1.0,-8.4,0.0,0.0
ZINC000033088762,EOS1010,1.0,-8.4,0.0,0.0
ZINC000065131318,EOS1192,1.0,-8.4,0.0,0.0
,EOS101129,1.0,-8.4,0.0,0.0
ZINC000003993855,EOS100596,1.0,-8.4,0.0,0.0
,EOS100564,1.0,-8.3,0.0,0.0
ZINC000035402607,EOS1713,1.0,-8.3,0.0,0.0
ZINC000252286875,,1.0,-8.3,0.0,0.0
ZINC000098052868,EOS101033,1.0,-8.3,0.0,0.0
,EOS1676,1.0,-8.3,0.0,0.0
ZINC000014974393,EOS100525,1.0,-8.3,0.0,0.0
,EOS1055,1.0,-8.3,0.0,0.0
ZINC000065305065,EOS1071,1.0,-8.3,0.0,0.0
,EOS100422,1.0,-8.3,0.0,0.0
ZINC000098209617,EOS101111,1.0,-8.3,0.0,0.0
,EOS1678,1.0,-8.3,0.0,0.0
ZINC000101828271,EOS1166,1.0,-8.3,0.0,0.0
ZINC000013467799,EOS100767,1.0,-8.3,0.0,0.0
ZINC000005844792,,1.0,-8.3,0.0,0.0
ZINC000017190237,EOS1735,1.0,-8.3,0.0,0.0
ZINC000005326942,EOS2155,1.0,-8.3,0.0,0.0
ZINC000604419303,EOS137,1.0,-8.3,0.0,0.0
ZINC000096116204,EOS90,1.0,-8.3,0.0,0.0
,EOS617,1.0,-8.3,0.0,0.0
ZINC000113391423,EOS101262,1.0,-8.3,0.0,0.0
ZINC000065173038,EOS1232,1.0,-8.3,0.0,0.0
ZINC000063298464,EOS100203,1.0,-8.3,0.0,0.0
ZINC000064889616,EOS1759,1.0,-8.3,0.0,0.0
,EOS200,1.0,-8.3,0.0,0.0
ZINC000020416259,EOS536,1.0,-8.3,0.0,0.0
ZINC000003820043,EOS100819,1.0,-8.3,0.0,0.0
,EOS138,1.0,-8.3,0.0,0.0
ZINC000012002101,EOS1803,1.0,-8.3,0.0,0.0
,EOS1005,1.0,-8.3,0.0,0.0
ZINC000096917507,EOS100317,1.0,-8.3,0.0,0.0
,EOS100771,1.0,-8.3,0.0,0.0
ZINC000003795819,,1.0,-8.3,0.0,0.0
ZINC000012414851,EOS1026,1.0,-8.3,0.0,0.0
ZINC000089464842,EOS101176,1.0,-8.3,0.0,0.0
ZINC000065362142,EOS2394,1.0,-8.3,0.0,0.0
ZINC000021361038,EOS1149,1.0,-8.3,0.0,0.0
ZINC000043205344,EOS100590,1.0,-8.3,0.0,0.0
ZINC000002296180,EOS98648,1.0,-8.3,0.0,0.0
ZINC000015836748,EOS98561,1.0,-8.3,0.0,0.0
ZINC000003977978,EOS100574,1.0,-8.3,0.0,0.0
ZINC000073488511,EOS100759,1.0,-8.3,0.0,0.0
ZINC000006718665,EOS100410,1.0,-8.3,0.0,0.0
ZINC000001752601,EOS100470,1.0,-8.3,0.0,0.0
,EOS477,1.0,-8.3,0.0,0.0
ZINC000096174842,EOS100474,1.0,-8.3,0.0,0.0
ZINC000033126714,EOS1095,1.0,-8.3,0.0,0.0
,EOS101029,1.0,-8.3,0.0,0.0
ZINC000012321698,EOS2381,1.0,-8.3,0.0,0.0
ZINC000012276900,EOS939,1.0,-8.3,0.0,0.0
ZINC000065254280,EOS1363,1.0,-8.3,0.0,0.0
ZINC000065060771,EOS1123,1.0,-8.3,0.0,0.0
,EOS101317,1.0,-8.3,0.0,0.0
,EOS100113,1.0,-8.3,0.0,0.0
ZINC000209735140,EOS100679,1.0,-8.3,0.0,0.0
ZINC000000044024,EOS2102,1.0,-8.3,0.0,0.0
ZINC000043196885,EOS100898,1.0,-8.3,0.0,0.0
ZINC000000106367,EOS100121,1.0,-8.3,0.0,0.0
ZINC000011617039,EOS101242,1.0,-8.3,0.0,0.0
ZINC000045946621,EOS1695,1.0,-8.3,0.0,0.0
ZINC000221167567,EOS100066,1.0,-8.3,0.0,0.0
ZINC000003938684,EOS98605,1.0,-8.3,0.0,0.0
ZINC000089469833,EOS100704,1.0,-8.3,0.0,0.0
,EOS656,1.0,-8.3,0.0,0.0
ZINC000065076256,EOS1129,1.0,-8.3,0.0,0.0
ZINC000067602198,EOS2445,1.0,-8.3,0.0,0.0
ZINC000000896717,,1.0,-8.3,0.0,0.0
ZINC000003938684,EOS100660,1.0,-8.3,0.0,0.0
ZINC000073069302,EOS101198,1.0,-8.3,0.0,0.0
ZINC000100589434,EOS1046,1.0,-8.3,0.0,0.0
ZINC000005439204,EOS316,1.0,-8.2,0.0,0.0
ZINC000083253967,EOS101154,1.0,-8.2,0.0,0.0
ZINC000053193522,EOS100554,1.0,-8.2,0.0,0.0
ZINC000040396358,EOS2386,1.0,-8.2,0.0,0.0
ZINC000059263715,EOS100227,1.0,-8.2,0.0,0.0
,EOS100084,1.0,-8.2,0.0,0.0
ZINC000013831130,,1.0,-8.2,0.0,0.0
ZINC000052509366,EOS101599,1.0,-8.2,0.0,0.0
ZINC000225425776,EOS38,1.0,-8.2,0.0,0.0
ZINC000004098735,EOS101105,1.0,-8.2,0.0,0.0
ZINC000004096258,EOS100114,1.0,-8.2,0.0,0.0
ZINC000038828847,EOS1837,1.0,-8.2,0.0,0.0
,EOS100658,1.0,-8.2,0.0,0.0
ZINC000065259504,EOS1384,1.0,-8.2,0.0,0.0
ZINC000095616937,,1.0,-8.2,0.0,0.0
ZINC000009503567,EOS1051,1.0,-8.2,0.0,0.0
ZINC000018516586,,1.0,-8.2,0.0,0.0
ZINC000026664090,,1.0,-8.2,0.0,0.0
ZINC000143139995,EOS100428,1.0,-8.2,0.0,0.0
ZINC000100018598,,1.0,-8.2,0.0,0.0
,EOS710,1.0,-8.2,0.0,0.0
ZINC000003907747,EOS431,1.0,-8.2,0.0,0.0
,EOS1140,1.0,-8.2,0.0,0.0
ZINC000019841203,EOS2260,1.0,-8.2,0.0,0.0
ZINC000065330465,EOS736,1.0,-8.2,0.0,0.0
ZINC000003048098,EOS1038,1.0,-8.2,0.0,0.0
ZINC000003817234,,1.0,-8.2,0.0,0.0
ZINC000014768621,EOS100586,1.0,-8.2,0.0,0.0
ZINC000064988779,EOS1056,1.0,-8.2,0.0,0.0
,EOS1666,1.0,-8.2,0.0,0.0
ZINC000035537411,EOS1154,1.0,-8.2,0.0,0.0
ZINC000006718468,EOS100661,1.0,-8.2,0.0,0.0
ZINC000003973984,EOS101288,1.0,-8.2,0.0,0.0
ZINC000230477930,EOS100202,1.0,-8.2,0.0,0.0
ZINC000003933041,EOS100341,1.0,-8.2,0.0,0.0
ZINC000064889598,EOS1753,1.0,-8.2,0.0,0.0
ZINC000016652433,EOS2179,1.0,-8.2,0.0,0.0
ZINC000003927822,,1.0,-8.2,0.0,0.0
ZINC000064746555,EOS100402,1.0,-8.2,0.0,0.0
ZINC000009745410,EOS784,1.0,-8.2,0.0,0.0
ZINC000100070954,,1.0,-8.2,0.0,0.0
ZINC000014191207,EOS100655,1.0,-8.2,0.0,0.0
,EOS416,1.0,-8.2,0.0,0.0
ZINC000034375693,EOS101173,1.0,-8.2,0.0,0.0
ZINC000118912450,,1.0,-8.2,0.0,0.0
,EOS1655,1.0,-8.2,0.0,0.0
ZINC000584641445,EOS100103,1.0,-8.2,0.0,0.0
ZINC000103235314,EOS100966,1.0,-8.2,0.0,0.0
ZINC000095479903,EOS87,1.0,-8.2,0.0,0.0
ZINC000030691754,EOS100434,1.0,-8.2,0.0,0.0
ZINC000003983877,EOS100910,1.0,-8.2,0.0,0.0
ZINC000035328014,,1.0,-8.2,0.0,0.0
ZINC000065361932,EOS2379,1.0,-8.2,0.0,0.0
,EOS100111,1.0,-8.2,0.0,0.0
ZINC000000670382,EOS927,1.0,-8.2,0.0,0.0
ZINC000118401631,EOS100258,1.0,-8.2,0.0,0.0
ZINC000064605729,EOS1086,1.0,-8.2,0.0,0.0
ZINC000065731652,EOS100782,1.0,-8.2,0.0,0.0
ZINC000001488294,EOS101062,1.0,-8.2,0.0,0.0
,EOS100836,1.0,-8.2,0.0,0.0
,EOS12,1.0,-8.2,0.0,0.0
ZINC000035560352,EOS792,1.0,-8.2,0.0,0.0
,EOS100205,1.0,-8.2,0.0,0.0
ZINC000001058159,EOS1862,1.0,-8.2,0.0,0.0
ZINC000005439010,EOS320,1.0,-8.2,0.0,0.0
,EOS1,1.0,-8.2,0.0,0.0
ZINC000041146337,EOS2462,1.0,-8.2,0.0,0.0
ZINC000053683151,,1.0,-8.2,0.0,0.0
,EOS101137,1.0,-8.2,0.0,0.0
,EOS100187,1.0,-8.2,0.0,0.0
ZINC000011677837,EOS101143,1.0,-8.2,0.0,0.0
ZINC000003939013,,1.0,-8.2,0.0,0.0
ZINC000029416466,,1.0,-8.2,0.0,0.0
ZINC000095644293,EOS101315,1.0,-8.2,0.0,0.0
ZINC000142095785,EOS100506,1.0,-8.2,0.0,0.0
ZINC000075536581,EOS1352,1.0,-8.2,0.0,0.0
,EOS553,1.0,-8.2,0.0,0.0
ZINC000011858320,EOS696,1.0,-8.2,0.0,0.0
,EOS854,1.0,-8.2,0.0,0.0
,EOS1537,1.0,-8.2,0.0,0.0
ZINC000018213201,EOS98586,1.0,-8.2,0.0,0.0
ZINC000003814422,,1.0,-8.2,0.0,0.0
ZINC000072139239,EOS2455,1.0,-8.1,0.0,0.0
ZINC000005068520,EOS1945,1.0,-8.1,0.0,0.0
ZINC000004838814,EOS2086,1.0,-8.1,0.0,0.0
,EOS1374,1.0,-8.1,0.0,0.0
,EOS1248,1.0,-8.1,0.0,0.0
ZINC000001489430,EOS101098,1.0,-8.1,0.0,0.0
ZINC000096021026,EOS100060,1.0,-8.1,0.0,0.0
ZINC000100003902,EOS101814,1.0,-8.1,0.0,0.0
ZINC000040397132,EOS1832,1.0,-8.1,0.0,0.0
ZINC000098210307,EOS100552,1.0,-8.1,0.0,0.0
ZINC000033174425,EOS1188,1.0,-8.1,0.0,0.0
ZINC000041077084,EOS689,1.0,-8.1,0.0,0.0
ZINC000009660495,EOS1730,1.0,-8.1,0.0,0.0
,EOS961,1.0,-8.1,0.0,0.0
ZINC000100073786,,1.0,-8.1,0.0,0.0
